,STNAME,CTYNAME,PRICE,YEAR,POPULATION,STATEPOP,POPWEIGHT,W_PRICE
217,South Carolina,Spartanburg County,121770.0,2010,284731,4635649,0.0614,7479.36
218,Maine,Cumberland County,240760.0,2010,281474,1327629,0.212,51044.14
219,Michigan,Ingham County,109848.0,2010,281116,9877510,0.0285,3126.3
220,Pennsylvania,Erie County,118962.0,2010,280799,12711160,0.0221,2627.96
221,Texas,Lubbock County,130711.0,2010,280301,25241971,0.0111,1451.49
222,Florida,Leon County,158838.0,2010,275971,18845537,0.0146,2326.0
223,Missouri,Greene County,116958.0,2010,275309,5995974,0.0459,5370.2
224,Indiana,Hamilton County,223662.0,2010,276493,6490432,0.0426,9528.02
225,New Jersey,Atlantic County,222669.0,2010,274648,8799446,0.0312,6949.94
226,Connecticut,New London County,246789.0,2010,274004,3579114,0.0766,18893.27
227,California,San Luis Obispo County,419817.0,2010,269802,37319502,0.0072,3035.07
228,South Carolina,Horry County,158619.0,2010,270274,4635649,0.0583,9248.02
229,Illinois,Madison County,122115.0,2010,269310,12840503,0.021,2561.18
230,Florida,Osceola County,125182.0,2010,269837,18845537,0.0143,1792.4
231,Pennsylvania,Dauphin County,156239.0,2010,268281,12711160,0.0211,3297.57
232,North Carolina,Durham County,181629.0,2010,271357,9574323,0.0283,5147.76
233,Georgia,Chatham County,164591.0,2010,265799,9711881,0.0274,4504.6
234,Michigan,Ottawa County,150301.0,2010,264130,9877510,0.0267,4019.13
235,Tennessee,Rutherford County,158369.0,2010,263708,6355311,0.0415,6571.38
236,South Carolina,Lexington County,153796.0,2010,263357,4635649,0.0568,8737.34
237,California,Santa Cruz County,536752.0,2010,263147,37319502,0.0071,3784.74
238,Georgia,Clayton County,54725.0,2010,259877,9711881,0.0268,1464.37
239,California,Merced County,125093.0,2010,256721,37319502,0.0069,860.52
240,Oklahoma,Cleveland County,145881.0,2010,257085,3759944,0.0684,9974.57
241,Louisiana,Caddo Parish,118298.0,2010,255590,4544532,0.0562,6653.22
242,Colorado,Weld County,202598.0,2010,254207,5047349,0.0504,10203.74
243,California,Marin County,767770.0,2010,252904,37319502,0.0068,5202.97
244,Texas,Jefferson County,95035.0,2010,252455,25241971,0.01,950.48
245,Washington,Thurston County,240722.0,2010,253001,6742830,0.0375,9032.25
246,Washington,Kitsap County,263996.0,2010,251681,6742830,0.0373,9853.84
247,Michigan,Kalamazoo County,123819.0,2010,250751,9877510,0.0254,3143.28
248,Texas,Webb County,131303.0,2010,251370,25241971,0.01,1307.57
249,Wisconsin,Brown County,146190.0,2010,248476,5690475,0.0437,6383.42
250,Florida,Alachua County,154577.0,2010,247614,18845537,0.0131,2031.01
251,Mississippi,Hinds County,85354.0,2010,245720,2970548,0.0827,7060.38
252,Maryland,Harford County,273090.0,2010,245237,5788645,0.0424,11569.51
253,Washington,Yakima County,162081.0,2010,244256,6742830,0.0362,5871.31
254,Ohio,Mahoning County,83023.0,2010,238381,11539336,0.0207,1715.1
255,North Carolina,Buncombe County,212825.0,2010,238738,9574323,0.0249,5306.84
256,Minnesota,Washington County,235452.0,2010,238930,5310828,0.045,10592.8
257,Pennsylvania,Cumberland County,194381.0,2010,235886,12711160,0.0186,3607.2
258,Texas,McLennan County,116540.0,2010,235917,25241971,0.0093,1089.21
259,New York,Oneida County,116179.0,2010,234756,19399878,0.0121,1405.87
260,Maryland,Frederick County,284689.0,2010,234218,5788645,0.0405,11518.98
261,Utah,Weber County,168459.0,2010,232133,2775332,0.0836,14090.17
262,Ohio,Lake County,140383.0,2010,230014,11539336,0.0199,2798.26
263,Alabama,Montgomery County,111245.0,2010,229505,4785437,0.048,5335.2
264,South Carolina,York County,155224.0,2010,226865,4635649,0.0489,7596.54
265,Missouri,Clay County,151156.0,2010,222650,5995974,0.0371,5612.91
266,Louisiana,Lafayette Parish,171754.0,2010,222315,4544532,0.0489,8402.07
267,Arkansas,Benton County,141051.0,2010,222593,2921964,0.0762,10745.16
268,California,Butte County,213048.0,2010,219949,37319502,0.0059,1255.64
269,New York,Saratoga County,238107.0,2010,220109,19399878,0.0113,2701.54
270,Missouri,Jefferson County,159398.0,2010,219128,5995974,0.0365,5825.34
271,New York,Niagara County,108711.0,2010,216475,19399878,0.0112,1213.06
272,Massachusetts,Barnstable County,373874.0,2010,215899,6566307,0.0329,12292.91
273,Pennsylvania,Lackawanna County,139506.0,2010,214501,12711160,0.0169,2354.17
274,Georgia,Cherokee County,186817.0,2010,215197,9711881,0.0222,4139.51
275,Ohio,Warren County,189089.0,2010,213429,11539336,0.0185,3497.35
276,Iowa,Linn County,138156.0,2010,211705,3050745,0.0694,9587.27
277,Arizona,Yavapai County,194678.0,2010,210983,6407172,0.0329,6410.59
278,Ohio,Trumbull County,83087.0,2010,209840,11539336,0.0182,1510.92
279,Texas,Smith County,134709.0,2010,210408,25241971,0.0083,1122.89
280,Pennsylvania,Washington County,143921.0,2010,207938,12711160,0.0164,2354.36
281,Virginia,Arlington County,561207.0,2010,209295,8023699,0.0261,14638.86
282,North Carolina,Gaston County,118421.0,2010,206114,9574323,0.0215,2549.34
283,Georgia,Henry County,125588.0,2010,205039,9711881,0.0211,2651.44
284,Oregon,Jackson County,219997.0,2010,203341,3837491,0.053,11657.2
285,Arkansas,Washington County,137144.0,2010,204024,2921964,0.0698,9575.98
286,North Carolina,New Hanover County,204755.0,2010,203284,9574323,0.0212,4347.4
287,North Carolina,Union County,198158.0,2010,202109,9574323,0.0211,4183.01
288,Washington,Whatcom County,267487.0,2010,201545,6742830,0.0299,7995.26
289,Illinois,Champaign County,140761.0,2010,201546,12840503,0.0157,2209.4
290,California,Yolo County,292327.0,2010,201073,37319502,0.0054,1575.02
291,New York,Broome County,118351.0,2010,200481,19399878,0.0103,1223.06
292,Georgia,Richmond County,0.0,2010,201115,9711881,0.0207,0.0
293,Arizona,Mohave County,141625.0,2010,200314,6407172,0.0313,4427.77
294,Michigan,Saginaw County,82632.0,2010,199862,9877510,0.0202,1671.98
295,Indiana,Elkhart County,116318.0,2010,197451,6490432,0.0304,3538.61
296,Illinois,Sangamon County,123366.0,2010,197769,12840503,0.0154,1900.08
297,Ohio,Clermont County,159901.0,2010,197604,11539336,0.0171,2738.21
298,Delaware,Sussex County,265606.0,2010,197885,899593,0.22,58425.8
299,Maine,York County,234444.0,2010,197209,1327629,0.1485,34824.84
300,Arizona,Yuma County,135708.0,2010,197127,6407172,0.0308,4175.28
301,Wisconsin,Racine County,119484.0,2010,195406,5690475,0.0343,4102.98
302,Alabama,Shelby County,194637.0,2010,196032,4785437,0.041,7973.17
303,Texas,Brazos County,159754.0,2010,195666,25241971,0.0078,1238.35
304,Alabama,Tuscaloosa County,149743.0,2010,194996,4785437,0.0407,6101.7
305,West Virginia,Kanawha County,103899.0,2010,192917,1854239,0.104,10809.76
306,Louisiana,Calcasieu Parish,0.0,2010,193026,4544532,0.0425,0.0
307,Florida,Clay County,160977.0,2010,191451,18845537,0.0102,1635.36
308,Connecticut,Litchfield County,246093.0,2010,189763,3579114,0.053,13047.74
309,Georgia,Muscogee County,121230.0,2010,191101,9711881,0.0197,2385.45
310,Idaho,Canyon County,100860.0,2010,189347,1570746,0.1205,12158.26
311,South Carolina,Anderson County,141450.0,2010,187086,4635649,0.0404,5708.65
312,Mississippi,Harrison County,122586.0,2010,187859,2970548,0.0632,7752.4
313,Illinois,Peoria County,107080.0,2010,186222,12840503,0.0145,1552.95
314,Hawaii,Hawaii County,0.0,2010,185363,1363963,0.1359,0.0
315,Pennsylvania,Butler County,207585.0,2010,184115,12711160,0.0145,3006.77
316,Tennessee,Williamson County,321772.0,2010,184143,6355311,0.029,9323.24
317,New York,Ulster County,219888.0,2010,182418,19399878,0.0094,2067.62
318,Alabama,Baldwin County,165310.0,2010,183112,4785437,0.0383,6325.49
319,California,El Dorado County,319847.0,2010,181136,37319502,0.0049,1552.43
320,Michigan,Livingston County,174060.0,2010,181069,9877510,0.0183,3190.77
321,Florida,Okaloosa County,178885.0,2010,180715,18845537,0.0096,1715.38
322,Indiana,Vanderburgh County,105197.0,2010,179842,6490432,0.0277,2914.88
323,Georgia,Hall County,154705.0,2010,180033,9711881,0.0185,2867.83
324,North Carolina,Cabarrus County,165743.0,2010,178562,9574323,0.0187,3091.12
325,Kansas,Shawnee County,112939.0,2010,178360,2858190,0.0624,7047.75
326,South Carolina,Berkeley County,170532.0,2010,179480,4635649,0.0387,6602.55
327,North Carolina,Onslow County,177013.0,2010,186892,9574323,0.0195,3455.32
328,California,Shasta County,132316.0,2010,177274,37319502,0.0048,628.52
